network_id,station_id,gap_length,information_condition,n_placements,observed_recovery_loss,placement_loss_sd,median_mae_deg_c,rmse_deg_c,climatology_mae_deg_c,achieved_skill,first_gap_start,last_gap_end,role
huc8_01070004,01095220,7.0,B_union_D,20.0,0.7977622591464648,0.5162197645338064,0.6033271551132204,0.9062664236279308,1.1,0.0010860323743614065,2018-01-27,2026-04-11,development
huc8_01070004,01095220,7.0,B_union_D_union_M_union_H,20.0,0.7734082546085121,0.48094064309315854,0.6721608843122213,0.8926835029563867,1.1,0.025563820950572785,2018-01-27,2026-04-11,development
huc8_01070004,01095220,14.0,B_union_D,20.0,0.8021224991079153,0.3809414904246323,0.943864815575736,0.997476788324,1.241785714285714,0.29842040286122457,2018-01-27,2026-04-11,development
huc8_01070004,01095220,14.0,B_union_D_union_M_union_H,20.0,0.7784150613691392,0.3889695286718843,0.8546631608690536,0.9647682966821479,1.241785714285714,0.3306533663492887,2018-01-27,2026-04-11,development
huc8_01070004,01095220,30.0,B_union_D,20.0,1.1078641985058784,0.6235420273908796,0.8903911113739014,1.3381905534798089,1.4309166666666666,0.17548167137358633,2018-01-27,2026-04-11,development
huc8_01070004,01095220,30.0,B_union_D_union_M_union_H,20.0,1.0894393902520338,0.6485757862622511,0.8296378298103809,1.3245818494426835,1.4309166666666666,0.19872348900959286,2018-01-27,2026-04-11,development
huc8_01070004,01095220,60.0,B_union_D,20.0,1.348113890270392,0.5069396658475516,1.1155343858400983,1.6416580664948435,1.485875,-0.005618707730942224,2018-04-24,2026-04-11,development
huc8_01070004,01095220,60.0,B_union_D_union_M_union_H,20.0,1.3446186341475694,0.5052356024493391,1.1606695587933065,1.6432504064667117,1.485875,-0.009773673957806022,2018-04-24,2026-04-11,development
huc8_01070004,01095220,90.0,B_union_D,20.0,1.526022318429417,0.6824743201284337,1.4056644927130806,1.8124394006056739,1.48075,-0.14423994993581116,2018-07-19,2026-04-11,development
huc8_01070004,01095220,90.0,B_union_D_union_M_union_H,20.0,1.5381140030171307,0.6571129256386498,1.3955210061329935,1.8293390873190583,1.48075,-0.16373476772981557,2018-07-19,2026-04-11,development
huc8_01070004,01095220,180.0,B_union_D,20.0,2.7984465131825873,1.1549870558972932,2.370361792958445,3.3083166756063216,1.4133333333333333,-1.11763690530082,2018-07-19,2026-04-11,development
huc8_01070004,01095220,180.0,B_union_D_union_M_union_H,20.0,2.6779745953538354,0.9737584980387036,2.379156259074807,3.1454023167068983,1.4133333333333333,-1.043763193870421,2018-07-19,2026-04-11,development
