network_id,station_id,mechanism,gap_length,n_seasons,n_placements,observed_recovery_loss,predicted_loss,support
chmi_labe,0-203-1-004200,uniform_block,7,20,20,0.4185821972574505,0.6146356513489847,station_gap_season
chmi_labe,0-203-1-004200,uniform_block,30,20,20,0.7083334146790342,0.9533293459074514,station_gap_season
chmi_labe,0-203-1-004200,uniform_block,90,20,20,1.265985628691065,1.5325205400082715,station_gap_season
chmi_labe,0-203-1-004200,uniform_block,180,20,20,2.955624147237443,3.197687596782923,station_gap_season
chmi_labe,0-203-1-004200,multi_block,7,20,20,0.28493972401256146,0.49563940183336747,station_gap_season
chmi_labe,0-203-1-004200,multi_block,30,20,20,0.43920830000371713,0.6958186783786919,station_gap_season
chmi_labe,0-203-1-004200,multi_block,90,20,20,0.6883964679554433,0.8953512340472404,station_gap_season
chmi_labe,0-203-1-004200,multi_block,180,20,20,0.9109846610614797,1.0922057236552483,station_gap_season
chmi_labe,0-203-1-004200,summer_biased,7,20,20,0.38819393612089625,0.5886549285430591,station_gap_season
chmi_labe,0-203-1-004200,summer_biased,30,20,20,1.0024537631140813,1.0850860143836567,station_gap_season
chmi_labe,0-203-1-004200,summer_biased,90,20,20,1.5883607879938901,1.736472609260203,station_gap_season
chmi_labe,0-203-1-004200,summer_biased,180,20,20,2.0744347016494364,2.238346937176215,station_gap_season
chmi_labe,0-203-1-004200,high_temp_biased,7,20,20,0.41578425180344336,0.6100414876246798,station_gap_season
chmi_labe,0-203-1-004200,high_temp_biased,30,20,20,0.8204011347581796,1.196393712148344,station_gap_season
chmi_labe,0-203-1-004200,high_temp_biased,90,20,20,1.6833245895473272,2.322324397530635,station_gap_season
chmi_labe,0-203-1-004200,high_temp_biased,180,20,20,4.575550236391068,5.000701333951342,station_gap_season
chmi_labe,0-203-1-004200,donor_sync,7,20,20,2.047794444447472,2.0804154940059223,station_gap_season
chmi_labe,0-203-1-004200,donor_sync,30,20,20,1.9973594244493498,2.166446688612072,station_gap_season
chmi_labe,0-203-1-004200,donor_sync,90,20,20,2.444094922642439,2.7212088833026824,station_gap_season
