river,twin,cell,topology,source,gap_length,node,station,is_dam_like,is_ordinary_endpoint,is_ordinary_interior,n_donors,n_upstream_donors,n_downstream_donors,one_sided_donors,nearest_donor_hops,mean_donor_hops,recoverability_r,operator_risk,donor_r2,donor_r2_risk,acf30,memory_component,hard_memory_label,local_ar
twin_a_interior_dam_chain_n5,A,dam_times_interior,chain,exact_sigma,90,0,s0,False,True,False,4,0,4,True,1.0,2.5,0.5545379935131904,0.44546200648680956,0.776995723206334,0.22300427679366597,0.0046464680799646555,3.702232215997156e-14,0,0.52
twin_a_interior_dam_chain_n5,A,dam_times_interior,chain,exact_sigma,90,1,s1,False,False,False,4,1,3,False,1.0,1.75,0.5686594831115074,0.4313405168884926,0.7885651726830721,0.21143482731692786,0.011789987931707902,3.510160614546381e-14,0,0.52
twin_a_interior_dam_chain_n5,A,dam_times_interior,chain,exact_sigma,90,2,s2,True,False,False,4,2,2,False,1.0,1.5,0.31478469132628595,0.685215308673714,0.13745815583002324,0.8625418441699768,0.16380413095023785,0.03292402008464685,0,0.93
twin_a_interior_dam_chain_n5,A,dam_times_interior,chain,exact_sigma,90,3,s3,False,False,False,4,3,1,False,1.0,1.75,0.5638838590567248,0.4361161409432752,0.786725161735227,0.213274838264773,0.014955341149008329,3.540707776721224e-14,0,0.52
twin_a_interior_dam_chain_n5,A,dam_times_interior,chain,exact_sigma,90,4,s4,False,False,False,4,4,0,True,1.0,2.5,0.5622654305089381,0.43773456949106193,0.782343477290974,0.21765652270902602,0.006898803763770545,3.6134508359265705e-14,0,0.52
twin_b_ordinary_endpoint_chain_n5,B,ordinary_times_endpoint,chain,exact_sigma,90,0,s0,False,True,False,4,0,4,True,1.0,2.5,0.5908931440417011,0.4091068559582989,0.7844917099550168,0.21550829004498318,0.007173006600557647,3.5777866940068374e-14,0,0.52
twin_b_ordinary_endpoint_chain_n5,B,ordinary_times_endpoint,chain,exact_sigma,90,1,s1,False,False,False,4,1,3,False,1.0,1.75,0.6949551487844635,0.3050448512155365,0.8862091623120888,0.1137908376879112,0.011245783803612446,1.8891122234542448e-14,0,0.52
twin_b_ordinary_endpoint_chain_n5,B,ordinary_times_endpoint,chain,exact_sigma,90,2,s2,False,False,False,4,2,2,False,1.0,1.5,0.7173039830328874,0.28269601696711255,0.8988879607290525,0.10111203927094747,0.013381412964907633,1.6786236326778094e-14,0,0.52
twin_b_ordinary_endpoint_chain_n5,B,ordinary_times_endpoint,chain,exact_sigma,90,3,s3,False,False,False,4,3,1,False,1.0,1.75,0.7071293480285564,0.2928706519714436,0.8926703433892059,0.10732965661079408,0.01311805833268921,1.7818461517850145e-14,0,0.52
twin_b_ordinary_endpoint_chain_n5,B,ordinary_times_endpoint,chain,exact_sigma,90,4,s4,False,False,False,4,4,0,True,1.0,2.5,0.6143066154694335,0.38569338453056645,0.8231146502650426,0.1768853497349574,0.010052791830741255,2.936583323613117e-14,0,0.52
twin_a_interior_dam_chain_n6,A,dam_times_interior,chain,exact_sigma,90,0,s0,False,True,False,5,0,5,True,1.0,3.0,0.5832863079580457,0.4167136920419543,0.8039134683202777,0.19608653167972234,0.0041856635133796635,3.255354045875565e-14,0,0.52
twin_a_interior_dam_chain_n6,A,dam_times_interior,chain,exact_sigma,90,1,s1,False,False,False,5,1,4,False,1.0,2.2,0.6698965743196408,0.3301034256803592,0.8466539651233488,0.15334603487665122,0.008201824281278103,2.5457925680996925e-14,0,0.52
twin_a_interior_dam_chain_n6,A,dam_times_interior,chain,exact_sigma,90,2,s2,False,False,False,5,2,3,False,1.0,1.8,0.6085352404882975,0.39146475951170245,0.8279350221583023,0.17206497784169772,0.01622426596294999,2.856557342170505e-14,0,0.52
twin_a_interior_dam_chain_n6,A,dam_times_interior,chain,exact_sigma,90,3,s3,True,False,False,5,3,2,False,1.0,1.8,0.3386690320771848,0.6613309679228152,0.1740736838222569,0.825926316177743,0.17153434385742078,0.03152637151005934,0,0.93
twin_a_interior_dam_chain_n6,A,dam_times_interior,chain,exact_sigma,90,4,s4,False,False,False,5,4,1,False,1.0,2.2,0.5733757563148401,0.42662424368515994,0.7876588356533555,0.21234116434664452,0.017384268567715598,3.5252072773199063e-14,0,0.52
twin_a_interior_dam_chain_n6,A,dam_times_interior,chain,exact_sigma,90,5,s5,False,False,False,5,5,0,True,1.0,3.0,0.5716313450735813,0.42836865492641873,0.7866665429298896,0.21333345707011042,0.0080759493919429,3.5416809438402754e-14,0,0.52
twin_b_ordinary_endpoint_chain_n6,B,ordinary_times_endpoint,chain,exact_sigma,90,0,s0,False,True,False,5,0,5,True,1.0,3.0,0.5972444813422111,0.4027555186577889,0.7842435752015972,0.21575642479840285,0.009955824882601196,3.581906132841047e-14,0,0.52
twin_b_ordinary_endpoint_chain_n6,B,ordinary_times_endpoint,chain,exact_sigma,90,1,s1,False,False,False,5,1,4,False,1.0,2.2,0.7017958413606356,0.29820415863936445,0.8894036264380693,0.11059637356193075,0.016269848655887133,1.8360789445858103e-14,0,0.52
twin_b_ordinary_endpoint_chain_n6,B,ordinary_times_endpoint,chain,exact_sigma,90,2,s2,False,False,False,5,2,3,False,1.0,1.8,0.7283410835690156,0.2716589164309844,0.9077684936374382,0.09223150636256183,0.020653264777778884,1.5311924017554163e-14,0,0.52
twin_b_ordinary_endpoint_chain_n6,B,ordinary_times_endpoint,chain,exact_sigma,90,3,s3,False,False,False,5,3,2,False,1.0,1.8,0.7326755279394068,0.2673244720605932,0.9096612553530775,0.09033874464692249,0.022341300899407363,1.4997694913897572e-14,0,0.52
twin_b_ordinary_endpoint_chain_n6,B,ordinary_times_endpoint,chain,exact_sigma,90,4,s4,False,False,False,5,4,1,False,1.0,2.2,0.7161536115716327,0.2838463884283673,0.8988956912471432,0.10110430875285681,0.020722097486781433,1.6784952935556495e-14,0,0.52
twin_b_ordinary_endpoint_chain_n6,B,ordinary_times_endpoint,chain,exact_sigma,90,5,s5,False,False,False,5,5,0,True,1.0,3.0,0.6217919769983913,0.3782080230016087,0.8250903766574137,0.1749096233425863,0.015351692987466676,2.903783065227939e-14,0,0.52
twin_a_interior_dam_chain_n7,A,dam_times_interior,chain,exact_sigma,90,0,s0,False,True,False,6,0,6,True,1.0,3.5,0.5889743369582999,0.4110256630417001,0.8028962953084978,0.19710370469150218,0.004467166871986023,3.2722407654829134e-14,0,0.52
twin_a_interior_dam_chain_n7,A,dam_times_interior,chain,exact_sigma,90,1,s1,False,False,False,6,1,5,False,1.0,2.6666666666666665,0.6749908659408193,0.32500913405918075,0.8558809456404565,0.14411905435954353,0.008820902962148892,2.392609745698394e-14,0,0.52
twin_a_interior_dam_chain_n7,A,dam_times_interior,chain,exact_sigma,90,2,s2,False,False,False,6,2,4,False,1.0,2.1666666666666665,0.6141672014583729,0.3858327985416271,0.8305778037104092,0.16942219628959077,0.017573471837211793,2.8126828876410694e-14,0,0.52
twin_a_interior_dam_chain_n7,A,dam_times_interior,chain,exact_sigma,90,3,s3,True,False,False,6,3,3,False,1.0,2.0,0.3536293881272621,0.6463706118727379,0.1923137162688444,0.8076862837311556,0.17686500261200488,0.03083013259866606,0,0.93
twin_a_interior_dam_chain_n7,A,dam_times_interior,chain,exact_sigma,90,4,s4,False,False,False,6,4,2,False,1.0,2.1666666666666665,0.6012017683597837,0.3987982316402163,0.8143863922608365,0.18561360773916347,0.021904090039327962,3.081486544471995e-14,0,0.52
twin_a_interior_dam_chain_n7,A,dam_times_interior,chain,exact_sigma,90,5,s5,False,False,False,6,5,1,False,1.0,2.6666666666666665,0.6760605195027927,0.32393948049720733,0.8571069913122238,0.1428930086877762,0.012572287905195611,2.3722554016043537e-14,0,0.52
twin_a_interior_dam_chain_n7,A,dam_times_interior,chain,exact_sigma,90,6,s6,False,False,False,6,6,0,True,1.0,3.5,0.6050057495353744,0.39499425046462555,0.8226905917205496,0.1773094082794504,0.007376127151050299,2.9436233823396303e-14,0,0.52
twin_b_ordinary_endpoint_chain_n7,B,ordinary_times_endpoint,chain,exact_sigma,90,0,s0,False,True,False,6,0,6,True,1.0,3.5,0.6013809448733306,0.3986190551266694,0.7842290305822698,0.21577096941773022,0.011822003589276707,3.582147597081184e-14,0,0.52
twin_b_ordinary_endpoint_chain_n7,B,ordinary_times_endpoint,chain,exact_sigma,90,1,s1,False,False,False,6,1,5,False,1.0,2.6666666666666665,0.7056953574624767,0.2943046425375233,0.8904752534594124,0.10952474654058764,0.019839498821108106,1.8182882002153767e-14,0,0.52
twin_b_ordinary_endpoint_chain_n7,B,ordinary_times_endpoint,chain,exact_sigma,90,2,s2,False,False,False,6,2,4,False,1.0,2.1666666666666665,0.7334959916498943,0.2665040083501057,0.9111667481686805,0.08883325183131952,0.026258668688519286,1.4747758720609464e-14,0,0.52
twin_b_ordinary_endpoint_chain_n7,B,ordinary_times_endpoint,chain,exact_sigma,90,3,s3,False,False,False,6,3,3,False,1.0,2.0,0.7423591214677321,0.2576408785322679,0.9163839645720439,0.08361603542795615,0.030213020445645514,1.388161628943842e-14,0,0.52
twin_b_ordinary_endpoint_chain_n7,B,ordinary_times_endpoint,chain,exact_sigma,90,4,s4,False,False,False,6,4,2,False,1.0,2.1666666666666665,0.7401417798745991,0.25985822012540094,0.9146727008964559,0.08532729910354409,0.030791334586940923,1.4165713778550222e-14,0,0.52
twin_b_ordinary_endpoint_chain_n7,B,ordinary_times_endpoint,chain,exact_sigma,90,5,s5,False,False,False,6,5,1,False,1.0,2.6666666666666665,0.7211173843987733,0.27888261560122674,0.901667819670919,0.09833218032908098,0.027466842047000697,1.6324734714410892e-14,0,0.52
twin_b_ordinary_endpoint_chain_n7,B,ordinary_times_endpoint,chain,exact_sigma,90,6,s6,False,False,False,6,6,0,True,1.0,3.5,0.626429172466493,0.373570827533507,0.826017514258003,0.17398248574199704,0.019839380944927203,2.888391079285267e-14,0,0.52
twin_a_interior_dam_confluence_n5,A,dam_times_interior,confluence,exact_sigma,90,0,s0,False,True,False,4,0,3,True,1.0,2.25,0.5549925260218801,0.4450074739781199,0.7723908097503154,0.22760919024968462,0.0052919234080656555,3.778681238383059e-14,0,0.52
twin_a_interior_dam_confluence_n5,A,dam_times_interior,confluence,exact_sigma,90,1,s1,False,False,False,4,1,2,False,1.0,1.5,0.5699938322112885,0.4300061677887115,0.7773902250820016,0.22260977491799838,0.013516982646364327,3.695682845848891e-14,0,0.52
twin_a_interior_dam_confluence_n5,A,dam_times_interior,confluence,exact_sigma,90,2,s2,True,False,False,4,3,1,False,1.0,1.25,0.3496675752893409,0.6503324247106591,0.13295490807996138,0.8670450919200386,0.176591308853155,0.033095913216987405,0,0.93
twin_a_interior_dam_confluence_n5,A,dam_times_interior,confluence,exact_sigma,90,3,s3,False,False,False,4,4,0,True,1.0,2.0,0.4415498325193622,0.5584501674806378,0.6613467266624407,0.33865327333755935,0.01298776961355251,5.62219288629721e-14,0,0.52
twin_a_interior_dam_confluence_n5,A,dam_times_interior,confluence,exact_sigma,90,4,s4,False,False,False,4,0,2,True,1.0,2.0,0.4397941848784853,0.5602058151215147,0.6581466779763044,0.34185332202369556,0.010288101450619872,5.675318877910073e-14,0,0.52
twin_b_ordinary_endpoint_confluence_n5,B,ordinary_times_endpoint,confluence,exact_sigma,90,0,s0,False,True,False,4,0,3,True,1.0,2.25,0.5999400381099507,0.40005996189004933,0.7918871644631111,0.20811283553688886,0.016221852743617888,3.4550101700519126e-14,0,0.52
twin_b_ordinary_endpoint_confluence_n5,B,ordinary_times_endpoint,confluence,exact_sigma,90,1,s1,False,False,False,4,1,2,False,1.0,1.5,0.7188527057193947,0.28114729428060525,0.9051524744577243,0.09484752554227571,0.025873555716800167,1.5746225575535685e-14,0,0.52
