network_id,station_id,reason
huc8_02040103,01428750,no_eligible_opposite_exposure_in_exact_stratum
huc8_02040103,01429000,no_eligible_opposite_exposure_in_exact_stratum
huc8_03050106,02156500,no_eligible_opposite_exposure_in_exact_stratum
huc8_03100204,02301500,no_eligible_opposite_exposure_in_exact_stratum
huc8_03100205,02304510,no_eligible_opposite_exposure_in_exact_stratum
huc8_04070007,04136000,no_eligible_opposite_exposure_in_exact_stratum
huc8_04070007,04136500,no_eligible_opposite_exposure_in_exact_stratum
huc8_04070007,04136900,no_eligible_opposite_exposure_in_exact_stratum
huc8_04070007,04137005,no_eligible_opposite_exposure_in_exact_stratum
huc8_04070007,04137500,no_eligible_opposite_exposure_in_exact_stratum
huc8_05020001,03054500,no_eligible_opposite_exposure_in_exact_stratum
huc8_05020001,03056000,no_eligible_opposite_exposure_in_exact_stratum
huc8_05020001,03057000,no_eligible_opposite_exposure_in_exact_stratum
huc8_05110001,03306000,no_eligible_opposite_exposure_in_exact_stratum
huc8_05110001,03306500,no_eligible_opposite_exposure_in_exact_stratum
huc8_05110001,03311500,no_eligible_opposite_exposure_in_exact_stratum
huc8_11020002,07096000,no_eligible_opposite_exposure_in_exact_stratum
huc8_11020003,07105530,no_eligible_opposite_exposure_in_exact_stratum
huc8_11020003,07106000,no_eligible_opposite_exposure_in_exact_stratum
huc8_11020003,07106500,no_eligible_opposite_exposure_in_exact_stratum
huc8_11030012,07143672,no_eligible_opposite_exposure_in_exact_stratum
huc8_11030012,07144100,no_eligible_opposite_exposure_in_exact_stratum
huc8_11130206,07312100,no_eligible_opposite_exposure_in_exact_stratum
huc8_11130206,07312500,no_eligible_opposite_exposure_in_exact_stratum
huc8_16020102,10133800,no_eligible_opposite_exposure_in_exact_stratum
