network_id,station_id,gap_length,season,placement,gap_start,mae_deg_c,model_family,outer_training_years,inner_fit_years,inner_score_years
huc8_05140101,03292500,7,DJF,0,2013-12-14,1.9508028711591445,xgboost_b_d,1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014,1988|1989|1990|1991|1992|1993|1994|1995,2007|2008|2009|2010|2011|2012|2013|2014
huc8_05140101,03292500,7,DJF,1,2013-12-21,2.2429002353123257,xgboost_b_d,1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014,1988|1989|1990|1991|1992|1993|1994|1995,2007|2008|2009|2010|2011|2012|2013|2014
huc8_05140101,03292500,7,DJF,2,2013-12-28,1.3392751659665791,xgboost_b_d,1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014,1988|1989|1990|1991|1992|1993|1994|1995,2007|2008|2009|2010|2011|2012|2013|2014
huc8_05140101,03292500,7,DJF,3,2014-01-05,2.283986391339983,xgboost_b_d,1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014,1988|1989|1990|1991|1992|1993|1994|1995,2007|2008|2009|2010|2011|2012|2013|2014
huc8_05140101,03292500,7,DJF,4,2014-01-12,1.3270726067679266,xgboost_b_d,1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014,1988|1989|1990|1991|1992|1993|1994|1995,2007|2008|2009|2010|2011|2012|2013|2014
huc8_05140101,03292500,7,DJF,5,2014-01-20,1.490620129449027,xgboost_b_d,1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014,1988|1989|1990|1991|1992|1993|1994|1995,2007|2008|2009|2010|2011|2012|2013|2014
huc8_05140101,03292500,7,DJF,6,2014-01-27,1.1437911374228342,xgboost_b_d,1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014,1988|1989|1990|1991|1992|1993|1994|1995,2007|2008|2009|2010|2011|2012|2013|2014
huc8_05140101,03292500,7,DJF,7,2014-02-13,1.6041636398860386,xgboost_b_d,1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014,1988|1989|1990|1991|1992|1993|1994|1995,2007|2008|2009|2010|2011|2012|2013|2014
huc8_05140101,03292500,7,DJF,8,2014-02-20,1.6792624337332587,xgboost_b_d,1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014,1988|1989|1990|1991|1992|1993|1994|1995,2007|2008|2009|2010|2011|2012|2013|2014
huc8_05140101,03292500,7,DJF,9,2014-02-28,1.441126114981515,xgboost_b_d,1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014,1988|1989|1990|1991|1992|1993|1994|1995,2007|2008|2009|2010|2011|2012|2013|2014
huc8_05140101,03292500,7,JJA,0,2014-06-04,0.5615257263183595,xgboost_b_d,1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014,1988|1989|1990|1991|1992|1993|1994|1995,2007|2008|2009|2010|2011|2012|2013|2014
huc8_05140101,03292500,7,JJA,1,2014-06-10,0.7070798601422992,xgboost_b_d,1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014,1988|1989|1990|1991|1992|1993|1994|1995,2007|2008|2009|2010|2011|2012|2013|2014
huc8_05140101,03292500,7,JJA,2,2014-06-17,1.3262339455740795,xgboost_b_d,1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014,1988|1989|1990|1991|1992|1993|1994|1995,2007|2008|2009|2010|2011|2012|2013|2014
huc8_05140101,03292500,7,JJA,3,2014-06-24,0.45752645220075444,xgboost_b_d,1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014,1988|1989|1990|1991|1992|1993|1994|1995,2007|2008|2009|2010|2011|2012|2013|2014
