network_id,station_id,gap_length,season,placement,gap_start,mae_deg_c,model_family,outer_training_years,inner_fit_years,inner_score_years
huc8_05030102,03103500,7,DJF,0,2017-12-04,0.862406131199428,xgboost_b_d,2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020,2007|2008,2017|2018|2019|2020
huc8_05030102,03103500,7,DJF,1,2018-01-01,0.1947271926062448,xgboost_b_d,2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020,2007|2008,2017|2018|2019|2020
huc8_05030102,03103500,7,DJF,2,2018-01-29,0.387282487324306,xgboost_b_d,2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020,2007|2008,2017|2018|2019|2020
huc8_05030102,03103500,7,DJF,3,2018-02-27,1.3111456326075965,xgboost_b_d,2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020,2007|2008,2017|2018|2019|2020
huc8_05030102,03103500,7,DJF,4,2018-12-27,0.3694806780133929,xgboost_b_d,2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020,2007|2008,2017|2018|2019|2020
huc8_05030102,03103500,7,DJF,5,2019-01-31,0.2621657950537545,xgboost_b_d,2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020,2007|2008,2017|2018|2019|2020
huc8_05030102,03103500,7,DJF,6,2019-12-31,0.4536203588758196,xgboost_b_d,2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020,2007|2008,2017|2018|2019|2020
huc8_05030102,03103500,7,DJF,7,2020-01-28,0.09697096688406812,xgboost_b_d,2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020,2007|2008,2017|2018|2019|2020
huc8_05030102,03103500,7,DJF,8,2020-02-25,0.5953652722494943,xgboost_b_d,2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020,2007|2008,2017|2018|2019|2020
huc8_05030102,03103500,7,DJF,9,2020-12-25,0.46974447965621946,xgboost_b_d,2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020,2007|2008,2017|2018|2019|2020
