network_id,station_id,gap_length,season,placement,gap_start,mae_deg_c,model_family,outer_training_years,inner_fit_years,inner_score_years
huc8_05140101,03292500,7,DJF,0,2013-12-14,1.7728721073695588,xgboost_b_d,1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014,1988|1989|1990|1991,2007|2008|2009|2010|2011|2012|2013|2014
huc8_05140101,03292500,7,DJF,1,2013-12-21,2.309563159942627,xgboost_b_d,1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014,1988|1989|1990|1991,2007|2008|2009|2010|2011|2012|2013|2014
huc8_05140101,03292500,7,DJF,2,2013-12-28,1.191103690011161,xgboost_b_d,1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014,1988|1989|1990|1991,2007|2008|2009|2010|2011|2012|2013|2014
huc8_05140101,03292500,7,DJF,3,2014-01-05,2.2805219309670584,xgboost_b_d,1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014,1988|1989|1990|1991,2007|2008|2009|2010|2011|2012|2013|2014
huc8_05140101,03292500,7,DJF,4,2014-01-12,1.4039820807320729,xgboost_b_d,1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014,1988|1989|1990|1991,2007|2008|2009|2010|2011|2012|2013|2014
huc8_05140101,03292500,7,DJF,5,2014-01-20,1.4092208930424281,xgboost_b_d,1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014,1988|1989|1990|1991,2007|2008|2009|2010|2011|2012|2013|2014
huc8_05140101,03292500,7,DJF,6,2014-01-27,1.0720660379954745,xgboost_b_d,1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014,1988|1989|1990|1991,2007|2008|2009|2010|2011|2012|2013|2014
huc8_05140101,03292500,7,DJF,7,2014-02-13,1.7222052233559744,xgboost_b_d,1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014,1988|1989|1990|1991,2007|2008|2009|2010|2011|2012|2013|2014
huc8_05140101,03292500,7,DJF,8,2014-02-20,1.6567706380571636,xgboost_b_d,1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014,1988|1989|1990|1991,2007|2008|2009|2010|2011|2012|2013|2014
huc8_05140101,03292500,7,DJF,9,2014-02-28,1.3266620363507953,xgboost_b_d,1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014,1988|1989|1990|1991,2007|2008|2009|2010|2011|2012|2013|2014
huc8_05140101,03292500,7,JJA,0,2014-06-04,0.514715358189174,xgboost_b_d,1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014,1988|1989|1990|1991,2007|2008|2009|2010|2011|2012|2013|2014
huc8_05140101,03292500,7,JJA,1,2014-06-10,0.7089790344238283,xgboost_b_d,1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014,1988|1989|1990|1991,2007|2008|2009|2010|2011|2012|2013|2014
huc8_05140101,03292500,7,JJA,2,2014-06-17,1.287276077270508,xgboost_b_d,1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014,1988|1989|1990|1991,2007|2008|2009|2010|2011|2012|2013|2014
huc8_05140101,03292500,7,JJA,3,2014-06-24,0.4954739706856875,xgboost_b_d,1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014,1988|1989|1990|1991,2007|2008|2009|2010|2011|2012|2013|2014
huc8_05140101,03292500,7,JJA,4,2014-07-01,0.918037959507533,xgboost_b_d,1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014,1988|1989|1990|1991,2007|2008|2009|2010|2011|2012|2013|2014
huc8_05140101,03292500,7,JJA,5,2014-07-07,0.5779675619942805,xgboost_b_d,1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014,1988|1989|1990|1991,2007|2008|2009|2010|2011|2012|2013|2014
huc8_05140101,03292500,7,JJA,6,2014-07-14,1.6986314501081192,xgboost_b_d,1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014,1988|1989|1990|1991,2007|2008|2009|2010|2011|2012|2013|2014
huc8_05140101,03292500,7,JJA,7,2014-08-17,0.9746240888323102,xgboost_b_d,1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014,1988|1989|1990|1991,2007|2008|2009|2010|2011|2012|2013|2014
huc8_05140101,03292500,7,JJA,8,2014-08-24,0.7173955644880026,xgboost_b_d,1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014,1988|1989|1990|1991,2007|2008|2009|2010|2011|2012|2013|2014
huc8_05140101,03292500,7,JJA,9,2014-08-31,0.7482407161167691,xgboost_b_d,1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014,1988|1989|1990|1991,2007|2008|2009|2010|2011|2012|2013|2014
huc8_05140101,03292500,7,MAM,0,2014-03-01,1.7631775583539688,xgboost_b_d,1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014,1988|1989|1990|1991,2007|2008|2009|2010|2011|2012|2013|2014
