old                                      new
04a767b627d0f8d8f59c38c0171aad177ec8b8e4 9ee656416a89d28e4618dd24aef0ba76c5c236c6
056cc769fbb3a0d727327dbd337f8fc4f01ea352 6bb142b1de375087c6e560a0205fcc7609ca385c
05d27c8211ddf66965001e6f9f3801adcf4bd537 dc349fc4fe4e73bdc49443d23bf3fa5aff0163f9
0780ddaa0f46992a00dde2484c7bbdf2d48d61f1 d6258cf399002df1e6d7d4dc3399cac9f356dc2b
09932c7960160a23e17edffff9a93401920fd643 91cc64996435daf199ae576976adc011a08f0c5d
0bb1bcfffe8bf7d670d6ae50fcb67319dca60229 b9ef8c966f3bd3e77d285b23bee1d54550f8bb77
0cc8d214f8a45042009d09a6f28d4bec94e69075 05504815681341a9af00ff280ee1b15dede57326
0d2acdba6c90064d50f7949909b9412e0f28bb03 f75ca6961297984f7ebd7454911a136791bdbeb1
0f42c418d6101a89c5d796ebcac73614d31968df 8ca59b5ff0d6bc1d9df497a1129d38c098c117ab
105b758281fc2e0b59e60cff6f82f136827ad3a8 ebd0b3f4aa130fcf6e3bc43ca9462be6d7a4a2aa
110c325600bf5d36fda50f4b7e778d8d4ec4c79e 94013488707f9dde9de49d5679b4c09108b72a1a
13de73a63f03728c1f5e91767314ae3768c24e77 f34e2ddb0329cf13f3071a8cec4e9e5da5ccf356
15bf0bac205f7948021625dfd0e199b6db720f4a b759b67064d60316686a7e7f998f749fbe97a86b
1669720bea0a53a06f85a767083bb98d2b2ef2dd e5d8abd0fbdc85ef0c4f19c947dcb1ecfe166ffa
171c99ee11e322feb395f3ba65e956a9c6bf9e11 bf9fba18d222ac1e853bb74d0b59395d71d1e1f6
25dd186cbe96cdc2edfb5a6285ffae3898062248 1baa92fdfd9f710d80ac509bcaccc680dbf6c461
28acaba6015bf455bc685648af2b8897956132f2 40423a4f1f0394d4576925332ff8a2037c919d72
2b5daadfe82ec80e72ff47779215368ce1cc8de1 af3be79ea31d52fb671863f6541f4ebdcc97e5ff
2ba6ce39e36bf91ba64fb1cd5511e2c4968397e6 a1a9c9963ea2004597b50d54e6b909f1d8b19448
2c54d46815b75946d6e2d7542028869c48755229 5630b9fc8fef880f7af75b925843903137012f5a
2f2c2b65ce8c3dcbde3e5da2c3052f943b8bfef3 1ca1e34c1df4eed835b6aec18cc9a46ec66d26bf
2fcf1f6057f51e0e9fe3f09e7750f7f44f8c0e03 82a272a4d8fd313b9b9efcf3240fcc6222c68e36
31513c172ca817e373ae91ee3d9fc4a489c2d089 24031bc45bdc8737b607e9810a65f27dbf1c18e9
34813143832f20c1b101070ebe22a39e35aaaf02 4be0e3f7c97e82f5327126ade709fabf9eeeea1e
384561cc2063bfe40fec6f88cfa59b3ded582489 00dd814d5a0069178f6df20b30e8148273ef74b2
3c2145c3e64f454ce4114d98397258f42a705717 e42bf7823a9edb2e9355ca143808f4536979e2df
3e3ab42089dfef97ebaafd6aba002a305645b7bc df197ab5933e574a4fd349284e2685ef93c50381
3fcd226aaddfeb5d286cb0cb684e78bb0a62b382 8f910c4096db3e7e9b8f0c407ba48aab7d2e6ad8
40684d6761200b8f221c89e8ceb872c72fe0192d 04b58dd093c0f2fd29cadafbbda78bd3e83a2782
412c2e1e7ee6c155e8a24658d0d527acc21c8c14 888b4e0a567587cd52b231c2a51a12bbb9cc656f
42a553f69d6d4b650954d2d11b8e224edafbeeb8 0000000000000000000000000000000000000000
46141d35a8c63ac34d57ecb138724bc8bf91576c 953e7003b2cea2cb178caf0df06fe86504e8ca61
478477a15ea11385f629f42cc14ff5b461fce3c5 97b0a241967a0f1497c0b0e330efec209cd552ee
49d97b1bf47462417e284cb6bfcb5f2bbafdb89f 700c760a035c61bbd7a4619793079b3df14c06d0
4b702de33841fc210e20b8bee951be52660af1f8 70e02010dd3a2116fc67ba97054bcf17510d63c8
4f65a84aba5aa98db44e05bab86db9548d6f2537 915e490b44cb2f2b2225b59e80cddf3eafdfa191
5076eb5d412ec613950f24ee6ee8543169ece601 257bb3246b9c93eb14e35265cc42d9e0488ff632
50bc48a20046a6a336ab8ffda597d5fcd687f422 bdaa3f2b988e4e820f0e8b0b3b9161d205672192
5209c22b69b4ab1501318b0ae75bb5ec3d206dbc 9311d43f615fb9e466d976962ab4a8e123bbd661
55b8dd1d19a22798383ebb7800b4bf09768a18b4 1fb67299be10bd1c3989b730ca7fcbcbbe62d63a
5717b466bc78dd38a9182b55bdbc1a64bf7948cd 6e9c46887044503fbac378f7c5b51b83d773b04d
57d7691ed101eb37497d160ada77c9a3cb3c13d9 1e6d8ff30a68a392c296a0535929ebce8233da9e
57ee25d70c304f9ae1e0f76abf450fe78fe57b8b d67446abcfbc6b06267bffe581a71a02001af7fc
5d9a2bb741a96c112002f3931b4f63869efa288f 70cbff66f87deb7e0c4802ed9aadeac188bfd2b0
61477febec47bcf082c119556d190f1248f6ca37 7fa8a11925c2ba0cf504c929f9525e341083a091
623ef5ac3144f9e3646a956e82c62e40564639f7 623ef5ac3144f9e3646a956e82c62e40564639f7
630d627070810d67a1715f7a9269e3347b8241b8 cd7acc02f6ae795425e453cf084a7b3b3e4d0a6e
66ef41e2b7ede15cd9e2ce7c5071c7fb8c343897 0000000000000000000000000000000000000000
6a6cffa33d5e6451f623014f6b2e97b025acd3ae 10c7add779877c9b07487957bcaeff80732af8a3
6bc2bda23e43976c253958b952ea22269fe28574 28e7298f308e712f6e893008cc85e7a88fbcb27b
