site_id,n_raw,n_sentinel,n_out_of_range,n_provisional_dropped,n_constant_run_days,n_jump,qualified_years,verdict,notes,network_id,eligible_for_network,exclusion_reason
03292470,4604,0,0,0,0,0,12,accepted,,huc8_05140101,True,
03292474,4830,0,0,42,0,0,11,accepted,,huc8_05140101,True,
03292475,4757,0,0,0,0,0,12,accepted,,huc8_05140101,True,
03292480,4651,0,0,40,0,0,11,accepted,,huc8_05140101,True,
03292500,5643,0,0,49,0,0,12,accepted,,huc8_05140101,True,
03292550,1417,0,0,49,0,0,1,accepted,,huc8_05140101,False,qualified_years_lt_6
03293000,6799,0,0,45,0,0,15,accepted,,huc8_05140101,True,
03293500,4617,0,0,44,0,0,11,accepted,,huc8_05140101,True,
03293530,4720,0,0,41,0,0,11,accepted,,huc8_05140101,True,
03294570,3404,0,0,125,0,0,1,accepted,,huc8_05140101,False,qualified_years_lt_6
