policy,combined_reduction,r_annual_mean,r_summer_mean,r_amplitude,r_phase_doy,r_p90,r_summer_max,r_exceed_20_days,r_exceed_25_days,r_degree_days_10,r_trend_slope
gap_length,-0.14845690549868534,0.12734445037411135,-0.20092821260894111,-0.3428135662249121,0.020227063781220744,-0.14207703930116322,0.0,-0.33064190553088424,-0.419776119402985,-0.13217126014141667,-0.0637324659318832
oracle_amplitude,0.008411813950496816,0.1292204826082789,0.09152311868174201,0.006193894346694484,-0.049101578733592444,0.06133170266611032,-0.016666666666666607,0.04198627371820751,-0.2574626865671641,0.0256145588926322,0.051479040558725875
oracle_annual_mean,0.1889280264094729,0.397929958075243,0.35111755298099134,0.17157057705953516,0.26199103654939415,0.17518116703536135,-0.022222222222222365,0.2260799354057328,-0.21641791044776126,0.37392679751886304,0.17012337213959194
oracle_combined,0.05311668435837883,0.1768480258710794,0.13150164347617843,0.0665682946038102,0.17504808792434734,0.039701382608863245,-0.022222222222222365,0.01937828017763421,-0.36567164179104483,0.1424896745187496,0.16752531841639307
oracle_degree_days_10,0.13172754611918805,0.24163777931678432,0.25285644961759735,0.013612093830473126,0.25396288422273783,0.16633274011526755,0.0,0.14735567218409362,-0.19589552238805963,0.3121556032065679,0.1252577610864185
oracle_exceed_20_days,-0.048052685763538994,-0.026056671572300072,-0.041119603837369345,-0.11706970821988949,0.001248245062259623,-0.056967864898184395,0.0,-0.010092854259184492,-0.28171641791044766,0.005735634329488537,0.045512383670237355
oracle_exceed_25_days,-0.08297665099445076,-0.002672263872125491,-0.06486920340475599,-0.17729622455779537,0.01699038839080702,-0.04837699051782285,0.0,-0.0508679854662899,-0.3675373134328359,-0.023949308497667854,-0.11118760858602128
oracle_p90,-0.008572467256077554,0.02146242252916508,0.11725032437578498,-0.07123213633454473,-0.013408372869591956,0.04122891690945263,-0.022222222222222365,0.12394025030278566,-0.33582089552238803,0.05655522255451095,-0.00347818228372776
oracle_phase_doy,0.20009470487839912,0.3792133761906993,0.3176942281178996,0.2961326330925703,0.32371947377591037,0.15596414554577598,-0.022222222222222365,0.0803391199031086,-0.04477611940298498,0.33527900953630796,0.17960340424692656
oracle_summer_max,-0.024864995665334632,0.009920383794090437,0.0548815207926211,-0.08969917502238012,0.03565785813221167,0.051688604251433845,-0.016666666666666607,-0.00968914008881705,-0.19029850746268662,0.049430704948998816,-0.1438755393321518
oracle_summer_mean,0.02673560290333723,0.05236884857019575,0.18129330832303336,-0.0029062019490841973,-0.05392503251477021,0.06305339487160166,-0.022222222222222365,0.05813484053290274,-0.3675373134328359,0.1600820372245676,0.19901436962998387
oracle_trend_slope,0.048330196149045115,0.1424222685830997,0.013619422114576674,0.036640174976265705,0.18687778810086608,0.04398896267800034,-0.022222222222222365,0.02583770690351228,-0.15858208955223874,0.10947301831287948,0.10524693159571197
random,0.02607359378651932,0.12806806853157526,0.06565003524170711,-0.02542087818398014,0.053905171469867896,0.044178801846756224,-0.0046666666666666965,0.029089624545821566,-0.08169776119402986,0.0713890403561491,-0.019759498082007304
risk,-0.1767194203833993,0.02170908451112752,-0.22986096972637204,-0.33831995093952316,-0.10801611118548071,-0.1300521862180133,0.0,-0.2216390795316916,-0.4253731343283582,-0.1790171481015208,-0.15662470831416075
