metric,network_spearman,risk_reduction,length_reduction,random_reduction_mean,oracle_reduction,risk_vs_random_gain,risk_vs_length_gain
annual_mean,0.4678571428571427,0.02170908451112752,0.12734445037411135,0.12806806853157526,0.397929958075243,-0.10635898402044774,-0.10563536586298383
summer_mean,0.37176064889448046,-0.22986096972637204,-0.20092821260894111,0.06565003524170711,0.18129330832303336,-0.29551100496807914,-0.02893275711743093
amplitude,0.28571428571428564,-0.33831995093952316,-0.3428135662249121,-0.02542087818398014,0.006193894346694484,-0.312899072755543,0.004493615285388941
phase_doy,-0.1964285714285714,-0.10801611118548071,0.020227063781220744,0.053905171469867896,0.32371947377591037,-0.1619212826553486,-0.12824317496670146
p90,0.7714285714285712,-0.1300521862180133,-0.14207703930116322,0.044178801846756224,0.04122891690945263,-0.1742309880647695,0.012024853083149933
summer_max,0.17325193726545673,0.0,0.0,-0.0046666666666666965,-0.016666666666666607,0.0046666666666666965,0.0
exceed_20_days,0.7392857142857142,-0.2216390795316916,-0.33064190553088424,0.029089624545821566,-0.010092854259184492,-0.2507287040775132,0.10900282599919264
exceed_25_days,0.6655645652197768,-0.4253731343283582,-0.419776119402985,-0.08169776119402986,-0.3675373134328359,-0.3436753731343284,-0.005597014925373234
degree_days_10,0.7642857142857141,-0.1790171481015208,-0.13217126014141667,0.0713890403561491,0.3121556032065679,-0.25040618845766993,-0.04684588796010414
trend_slope,-0.08928571428571427,-0.15662470831416075,-0.0637324659318832,-0.019759498082007304,0.10524693159571197,-0.13686521023215345,-0.09289224238227756
