method,network_id,station_id,gap_length,achieved_skill,fill_or_donor_mae,climate_mae,start_date,y_kind
later_year,toy,s0,30,0.7437360756194074,1.7074286607156255,6.662774188144497,,later_year_copied
later_year,toy,s0,90,0.7437360756194074,1.7074286607156255,6.662774188144497,,later_year_copied
later_year,toy,s1,30,0.8630053658208792,0.7067133146083625,5.15869339586201,,later_year_copied
later_year,toy,s1,90,0.8630053658208792,0.7067133146083625,5.15869339586201,,later_year_copied
later_year,toy,s2,30,0.8607989194402201,0.7183516492407691,5.160532133457637,,later_year_copied
later_year,toy,s2,90,0.8607989194402201,0.7183516492407691,5.160532133457637,,later_year_copied
later_year,toy,s3,30,0.8594108928866392,0.726485616926547,5.167438870927332,,later_year_copied
later_year,toy,s3,90,0.8594108928866392,0.726485616926547,5.167438870927332,,later_year_copied
planted_gap,toy,s0,30,0.7529847296401305,0.22356116542879353,0.905049979716208,2006-01-01,planted_gap
planted_gap,toy,s0,90,0.022480188496151077,12.12457826711549,12.403409244936567,2006-01-01,planted_gap
planted_gap,toy,s1,30,0.7269868469837539,0.24018828774427423,0.8797681909852212,2006-01-01,planted_gap
planted_gap,toy,s1,90,-3.285684351210201,4.0741898948443085,0.9506509488254378,2006-01-01,planted_gap
planted_gap,toy,s2,30,0.7094316027805601,0.26070743575074656,0.8972325904866311,2006-01-01,planted_gap
planted_gap,toy,s2,90,-3.3190107175342263,4.198039872488618,0.9719910755130813,2006-01-01,planted_gap
planted_gap,toy,s3,30,0.7629825485493391,0.21701506289893782,0.915607950261473,2006-01-01,planted_gap
planted_gap,toy,s3,90,-3.3339560207918417,4.211844603617883,0.971824490929733,2006-01-01,planted_gap
