network_id,station_id,gap_length,placement,mechanism,gap_start,observed_recovery_loss
gkd_bayern_main,24064003,7,0,a_uniform_block,2013-01-01,0.38021462304251524
gkd_bayern_main,24064003,7,1,a_uniform_block,2013-10-07,0.5019418443952285
gkd_bayern_main,24064003,7,2,a_uniform_block,2014-08-24,0.48244541713169653
gkd_bayern_main,24064003,7,3,a_uniform_block,2015-05-22,0.27606244768415167
gkd_bayern_main,24064003,7,4,a_uniform_block,2015-12-19,0.11678701128278453
gkd_bayern_main,24064003,7,5,a_uniform_block,2016-07-20,0.10919521876743842
gkd_bayern_main,24064003,7,6,a_uniform_block,2017-05-02,0.6244300842285158
gkd_bayern_main,24064003,7,7,a_uniform_block,2018-03-23,0.09178578513009203
gkd_bayern_main,24064003,7,8,a_uniform_block,2019-06-05,0.22239107404436403
gkd_bayern_main,24064003,7,9,a_uniform_block,2019-12-17,0.13025168010166713
gkd_bayern_main,24064003,7,10,a_uniform_block,2020-10-02,0.15792745862688332
gkd_bayern_main,24064003,7,11,a_uniform_block,2021-06-12,0.42205069405691986
gkd_bayern_main,24064003,7,12,a_uniform_block,2021-12-24,0.4779624938964844
gkd_bayern_main,24064003,7,13,a_uniform_block,2022-07-24,0.22691192626953136
gkd_bayern_main,24064003,7,14,a_uniform_block,2023-02-12,0.3135721002306257
gkd_bayern_main,24064003,7,15,a_uniform_block,2023-09-02,0.08945225306919673
gkd_bayern_main,24064003,7,16,a_uniform_block,2024-03-26,0.16509756360735217
gkd_bayern_main,24064003,7,17,a_uniform_block,2024-10-15,0.30241077968052466
gkd_bayern_main,24064003,7,18,a_uniform_block,2025-05-19,0.35096898760114364
gkd_bayern_main,24064003,7,19,a_uniform_block,2025-12-19,0.6643011774335589
gkd_bayern_main,24064003,14,20,a_uniform_block,2013-01-01,0.887877835546221
gkd_bayern_main,24064003,14,21,a_uniform_block,2013-11-02,0.28142738342285156
gkd_bayern_main,24064003,14,22,a_uniform_block,2014-10-16,0.3864638328552245
gkd_bayern_main,24064003,14,23,a_uniform_block,2015-07-22,0.7835334232875282
gkd_bayern_main,24064003,14,24,a_uniform_block,2016-02-12,0.345672995703561
gkd_bayern_main,24064003,14,25,a_uniform_block,2016-10-11,0.5376197269984655
gkd_bayern_main,24064003,14,26,a_uniform_block,2017-07-20,0.8782850537981309
gkd_bayern_main,24064003,14,27,a_uniform_block,2018-07-02,0.2694867542811808
gkd_bayern_main,24064003,14,28,a_uniform_block,2019-09-01,0.6981833866664342
gkd_bayern_main,24064003,14,29,a_uniform_block,2020-04-16,0.7309630393981933
gkd_bayern_main,24064003,14,30,a_uniform_block,2021-02-14,0.42986220121383667
gkd_bayern_main,24064003,14,31,a_uniform_block,2021-09-03,0.4519050053187783
gkd_bayern_main,24064003,14,32,a_uniform_block,2022-02-25,0.33053363391331253
gkd_bayern_main,24064003,14,33,a_uniform_block,2022-09-19,0.23051503045218322
gkd_bayern_main,24064003,14,34,a_uniform_block,2023-03-28,0.5504620824541364
gkd_bayern_main,24064003,14,35,a_uniform_block,2023-10-04,0.5649110112871438
gkd_bayern_main,24064003,14,36,a_uniform_block,2024-04-14,0.715686171395438
gkd_bayern_main,24064003,14,37,a_uniform_block,2024-10-21,0.14893524987357004
gkd_bayern_main,24064003,14,38,a_uniform_block,2025-05-19,0.7880864552089147
gkd_bayern_main,24064003,14,39,a_uniform_block,2025-11-25,0.24363856315612795
gkd_bayern_main,24064003,30,40,a_uniform_block,2013-01-01,1.5120027828216556
gkd_bayern_main,24064003,30,41,a_uniform_block,2014-04-17,0.6133558082580566
gkd_bayern_main,24064003,30,42,a_uniform_block,2015-02-18,0.3028035720189413
gkd_bayern_main,24064003,30,43,a_uniform_block,2015-09-22,0.3796956316630046
gkd_bayern_main,24064003,30,44,a_uniform_block,2016-04-13,1.338202756245931
gkd_bayern_main,24064003,30,45,a_uniform_block,2017-04-27,0.8515484873453778
gkd_bayern_main,24064003,30,46,a_uniform_block,2018-05-25,2.11739315032959
gkd_bayern_main,24064003,30,47,a_uniform_block,2019-07-24,0.47663388570149745
gkd_bayern_main,24064003,30,48,a_uniform_block,2019-12-13,0.495640058517456
gkd_bayern_main,24064003,30,49,a_uniform_block,2021-01-25,1.1421303494771322
gkd_bayern_main,24064003,30,50,a_uniform_block,2021-07-28,0.479113794962565
gkd_bayern_main,24064003,30,51,a_uniform_block,2021-12-17,0.7554580624898274
gkd_bayern_main,24064003,30,52,a_uniform_block,2022-06-07,0.8218451817830401
gkd_bayern_main,24064003,30,53,a_uniform_block,2022-12-30,1.0239949210484822
gkd_bayern_main,24064003,30,54,a_uniform_block,2023-06-20,0.4082522201538087
gkd_bayern_main,24064003,30,55,a_uniform_block,2023-11-09,0.48516432762145995
gkd_bayern_main,24064003,30,56,a_uniform_block,2024-05-03,1.2204538981119795
gkd_bayern_main,24064003,30,57,a_uniform_block,2024-10-23,0.5320009136199951
gkd_bayern_main,24064003,30,58,a_uniform_block,2025-05-20,0.9718947728474934
gkd_bayern_main,24064003,30,59,a_uniform_block,2025-11-09,0.7883914629618327
gkd_bayern_main,24064003,60,60,a_uniform_block,2013-01-01,1.1567833161354069
gkd_bayern_main,24064003,60,61,a_uniform_block,2014-09-04,1.1705515416463217
gkd_bayern_main,24064003,60,62,a_uniform_block,2015-06-28,2.4988707796732585
gkd_bayern_main,24064003,60,63,a_uniform_block,2016-01-09,0.6465298986434936
gkd_bayern_main,24064003,60,64,a_uniform_block,2016-04-20,1.2175177065531413
gkd_bayern_main,24064003,60,65,a_uniform_block,2017-05-05,2.7649851640065513
gkd_bayern_main,24064003,60,66,a_uniform_block,2019-06-10,1.494835720062256
gkd_bayern_main,24064003,60,67,a_uniform_block,2019-09-20,0.7011065053939819
gkd_bayern_main,24064003,60,68,a_uniform_block,2020-04-08,1.2527603944142662
gkd_bayern_main,24064003,60,69,a_uniform_block,2021-06-20,1.0473083623250323
gkd_bayern_main,24064003,60,70,a_uniform_block,2021-09-30,0.7888932863871257
gkd_bayern_main,24064003,60,71,a_uniform_block,2022-01-09,0.6440441258748373
gkd_bayern_main,24064003,60,72,a_uniform_block,2022-08-22,1.2457357215881344
gkd_bayern_main,24064003,60,73,a_uniform_block,2023-02-01,0.7326194214820861
gkd_bayern_main,24064003,60,74,a_uniform_block,2023-07-12,1.3317670758565263
