site_id,name,river,code_cours_eau,latitude,longitude,begin,end,department,source
04178455,AULNE à LOCMARIA-BERRIEN,l'Aulne,J3--0180,48.340217197,-3.680214889,,,Finistère,hubeau
04178103,MIGNONNE à IRVILLAC,la Mignonne,J3514000,48.386830998,-4.214745563,,,Finistère,hubeau
04178000,ELORN à PLOUEDERN,l'Elorn,J34-0300,48.469346252,-4.215671717,,,Finistère,hubeau
04173200,YAR à TREDUDER,le Yar,J2314000,48.647197572,-3.57786616,,,Côtes-d'Armor,hubeau
04173100,LEGUER à PLOUBEZRE,le Léguer,J22-0300,48.69510205,-3.422979224,,,Côtes-d'Armor,hubeau
04172570,GUINDY à PLOUGUIEL,le Guindy,J2034000,48.783522348,-3.253865215,,,Côtes-d'Armor,hubeau
04171670,TRIEUX à PLESIDY,le Trieux,J1--0170,48.44175213,-3.095334004,,,Côtes-d'Armor,hubeau
04168140,GOUESSANT à COETMIEUX,le Gouessant,J13-0300,48.484665317,-2.568460959,,,Côtes-d'Armor,hubeau
04166800,ROSETTE à MEGRIT,la Rosette,J1114000,48.364760109,-2.249287372,,,Côtes-d'Armor,hubeau
04164758,RANCE à EREAC,la Rance,J0--0160,48.252007539,-2.333040437,,,Côtes-d'Armor,hubeau
04163050,RAU DE LA CHENELAIS à PLEINE-FOUGERES,la Chênelais,J0216200,48.519484732,-1.5850451,,,Ille-et-Vilaine,hubeau
04162958,LOISANCE à SAINT-OUEN-LA-ROUERIE,la Loisance,J0144000,48.427947305,-1.43589654,,,Ille-et-Vilaine,hubeau
04162300,COUESNON à ROMAZY,le Couesnon,J0--0150,48.369096241,-1.502999748,,,Ille-et-Vilaine,hubeau
04158800,SEVRE NIORTAISE à EXOUDUN,la Sèvre Niortaise,N---0060,46.34773251,-0.090319894,,,Deux-Sèvres,hubeau
04156200,VENDEE à LA CHAPELLE-AUX-LYS,la Vendée,N---0120,46.633444441,-0.65777776,,,,hubeau
04154050,PETIT LAY à SAINT-HILAIRE-LE-VOUHIS,le Petit Lay,N31-0300,46.689748696,-1.116133163,,,Vendée,hubeau
04153600,GRAND LAY à SAINT-PROUANT,le Lay,N3--0160,46.750269934,-0.951592433,,,Vendée,hubeau
04153100,CIBOULE à SAINT-MATHURIN,la Ciboule,N2024000,46.579204343,-1.72091667,,,Vendée,hubeau
04146840,RAU DE GESVRES à CHAPELLE-SUR-ERDRE (LA),le Gesvres,M6354000,47.292916859,-1.567894153,,,Loire-Atlantique,hubeau
04139050,SEVRE NANTAISE à SAINT-MALO-DU-BOIS,la Sèvre Nantaise,M7--0240,46.923476057,-0.873622015,,,Vendée,hubeau
04134700,LOIRE à MONTJEAN-SUR-LOIRE,la Loire,----0000,47.392726473,-0.860735871,,,Maine-et-Loire,hubeau
04133200,LAYON à CLERE-SUR-LAYON,le Layon,M5--0200,47.078518745,-0.447067531,,,Maine-et-Loire,hubeau
04133000,MAINE à BOUCHEMAINE,la Maine,M4--0190,47.421297712,-0.607049815,,,Maine-et-Loire,hubeau
04130500,OUDON à COSSE-LE-VIVIEN,l'Oudon,M3--0180,47.934602125,-0.927848906,,,Mayenne,hubeau
04128490,MAYENNE à LOIGNE-SUR-MAYENNE,la Mayenne,M---0090,47.868932814,-0.697235067,,,Mayenne,hubeau
04125500,ERNEE à LARCHAMP,l'Ernée,M33-0300,48.328646372,-0.948224514,,,Mayenne,hubeau
04124985,ARON à MOULAY,l'Aron,M32-0310,48.269619367,-0.619123385,,,Mayenne,hubeau
04123800,VARENNE à SOUCE,la Varenne,M31-0300,48.471617654,-0.657411643,,,Mayenne,hubeau
04123760,EGRENNE à BEAUCHENE,l'Egrenne,M31-0310,48.690124122,-0.744099437,,,Orne,hubeau
04123750,MAYENNE à AMBRIERES-LES-VALLEES,la Mayenne,M---0090,48.445347915,-0.586028818,,,Mayenne,hubeau
04119750,ERVE à CHAMMES,l'Erve,M06-0300,48.084069226,-0.365957544,,,Mayenne,hubeau
04119220,VEGRE à EPINEU-LE-CHEVREUIL,la Vègre,M05-0300,48.030947841,-0.110995647,,,Sarthe,hubeau
04119170,SARTHE à MALICORNE-SUR-SARTHE,la Sarthe,M---0060,47.814894135,-0.091260224,,,Sarthe,hubeau
04118000,HUISNE à LE MANS,l'Huisne,M0--0150,47.99665976,0.236076205,,,Sarthe,hubeau
04116800,HUISNE à AVEZE,l'Huisne,M0--0150,48.228335422,0.674228664,,,Sarthe,hubeau
04115675,CORBIONNE à BRETONCELLES,la Corbionne,M0334000,48.403846341,0.871070664,,,Orne,hubeau
04115580,HUISNE à CONDEAU,l'Huisne,M0--0150,48.3854028,0.83662746,,,Orne,hubeau
04114500,ORNE SAOSNOISE à BALLON,l'Orne Saosnoise,M02-0300,48.185273204,0.224385218,,,Sarthe,hubeau
04113250,SARTHE à MOITRON-SUR-SARTHE,la Sarthe,M---0060,48.254503455,0.045869,,,Sarthe,hubeau
04113050,VAUDELLE à SAINT-GERMAIN-DE-COULAMER,la Vaudelle,M0124000,48.273275614,-0.20279019,,,Mayenne,hubeau
04111000,SARTHE à ALENCON,la Sarthe,M---0060,48.435300282,0.115815265,,,Orne,hubeau
04110700,SARTHE à MOULINS-LA-MARCHE,la Sarthe,M---0060,48.631452388,0.468303342,,,Orne,hubeau
04110000,LOIR à LEZIGNE,le Loir,M1--0160,47.640326071,-0.302186417,,,Maine-et-Loire,hubeau
04108736,AUNE à PONTVALLAIN,l'Aune,M14-0300,47.739239059,0.188695339,,,Sarthe,hubeau
04108440,BRAYE à SOUGE,la Braye,M12-0300,47.781775873,0.720293689,,,Loir-et-Cher,hubeau
04108425,TUSSON à EVAILLE,le Tusson,M1254000,47.905481568,0.624210873,,,Sarthe,hubeau
04108290,FRESNAY ou FENDERIE à VIBRAYE,le Fresnay,M1215500,48.02741782,0.725197211,,,Sarthe,hubeau
04108285,BRAYE à VIBRAYE,la Braye,M12-0300,48.040015945,0.776620865,,,Sarthe,hubeau
04108050,BOULON à MAZANGE,le Boulon,M1144600,47.810752763,0.958738927,,,Loir-et-Cher,hubeau
04108000,LOIR à NAVEIL,le Loir,M1--0160,47.797593656,1.026737019,,,Loir-et-Cher,hubeau
04106000,LOIR à SAINT-DENIS-LES-PONTS - Aval CHATEAUDUN,,M1--0161,48.067473357,1.290446738,,,Eure-et-Loir,hubeau
04105800,CONIE à DONNEMAIN-SAINT-MAMES,la Conie,M10-0300,48.110251653,1.372984915,,,Eure-et-Loir,hubeau
04105680,OZANNE à DAMPIERRE-SOUS-BROU,l'Ozanne,M1034000,48.205957755,1.12749975,,,Eure-et-Loir,hubeau
04104200,COUASNON à GEE,le Couasnon,L92-0300,47.453379983,-0.245003159,,,Maine-et-Loire,hubeau
04103200,LOIRE à SAINT-MATHURIN-SUR-LOIRE,la Loire,----0000,47.406623051,-0.318640207,,,Maine-et-Loire,hubeau
04102500,THOUET à CHACE,le Thouet,L8--0210,47.215473157,-0.080053409,,,Maine-et-Loire,hubeau
04101400,MADOIRE à SANZAY,la Madoire,L8334000,46.959096605,-0.429416824,,,Deux-Sèvres,hubeau
04099960,THOUARET à LUZAY,le Thouaret,L82-0300,46.916259078,-0.19287687,,,Deux-Sèvres,hubeau
04099400,THOUET à SAINT-LOUP-LAMAIRE,le Thouet,L8--0210,46.766104975,-0.167847941,,,Deux-Sèvres,hubeau
04097600,VIENNE à L'ILE-BOUCHARD,la Vienne,L---0060,47.120691803,0.424689475,,,Indre-et-Loire,hubeau
04097050,ESVES à LIGUEIL,l'Esves,L63-0300,47.04152582,0.791500176,,,Indre-et-Loire,hubeau
04096665,GARTEMPE à ROCHE-POSAY,la Gartempe,L5--0180,46.76627117,0.841860361,,,Vienne,hubeau
04096430,ANGLIN à MAUVIERES,l'Anglin,L5--0190,46.568733915,1.093005334,,,Indre,hubeau
04096360,BENAIZE à THOLLET,la Benaize,L56-0300,46.426641673,1.115497787,,,Vienne,hubeau
04093800,SEMME à DROUX,la Semme,L5134000,46.150817323,1.1421526,,,Haute-Vienne,hubeau
04092800,GARTEMPE à LE GRAND-BOURG,la Gartempe,L5--0180,46.175622625,1.62531155,,,Creuse,hubeau
04091400,CREUSE à RIVARENNES,la Creuse,L---0070,46.636848915,1.386524489,,,Indre,hubeau
04091250,BOUZANNE à VELLES,la Bouzanne,L46-0300,46.685931566,1.636359138,,,Indre,hubeau
04090500,SEDELLE à CROZANT,la Sédelle,L45-0300,46.377553721,1.611562928,,,Creuse,hubeau
04090000,PETITE CREUSE à FRESSELINES,la Petite Creuse,L4--0170,46.385769237,1.689395072,,,Creuse,hubeau
04089200,PETITE CREUSE à MALLERET-BOUSSAC,la Petite Creuse,L4--0170,46.342019436,2.144524398,,,Creuse,hubeau
04089000,CREUSE à FRESSELINES,la Creuse,L---0070,46.378176711,1.679195964,,,Creuse,hubeau
04088000,CREUSE à GLENIC,la Creuse,L---0070,46.223834032,1.919143788,,,Creuse,hubeau
04086320,ENVIGNE à CHATELLERAULT-THURE,l'Envigne,L31-0300,46.812246044,0.494696596,,,Vienne,hubeau
04086060,OZON DE CHENEVELLES à ARCHIGNY,l'Ozon de Chenevelles,L3024000,46.700410458,0.697474061,,,Vienne,hubeau
04082930,BOIVRE à POITIERS,la Boivre,L2404000,46.569117814,0.303142701,,,Vienne,hubeau
04082740,VONNE à JAZENEUIL,la Vonne,L22-0300,46.46173933,0.080662839,,,Vienne,hubeau
04082550,CLAIN à ANCHE,le Clain,L2--0160,46.323543163,0.271612527,,,Vienne,hubeau
04082500,VIENNE à VALDIVIENNE,la Vienne,L---0060,46.509008593,0.633225375,,,Vienne,hubeau
04082375,PETITE BLOURDE à PERSAC,la Petite Blourde,L1324000,46.346064308,0.719154278,,,Vienne,hubeau
04076420,TAURION à SAINT-HILAIRE-LE-CHATEAU,le Taurion,L0--0150,45.987791211,1.867252643,,,Creuse,hubeau
04076100,TAURION à GENTIOUX-PIGEROLLES,le Taurion,L0--0150,45.800472067,2.033113997,,,Creuse,hubeau
04075887,MAULDE à SAINT-MARTIN-CHATEAU,la Maulde,L01-0300,45.848661795,1.804512537,,,Creuse,hubeau
04075882,COMBADE à SAINT-DENIS-DES-MURS,la Combade,L00-0300,45.785016575,1.552953651,,,Haute-Vienne,hubeau
04075865,COMBADE à DOMPS,la Combade,L00-0300,45.638742612,1.720754234,,,Haute-Vienne,hubeau
04075700,VIENNE à SAINT-SETIERS,la Vienne,L---0060,45.693659901,2.076371745,,,Corrèze,hubeau
04075000,INDRE à LIGNIERES-DE-TOURAINE,l'Indre,K7--0260,47.282009815,0.388119778,,,Indre-et-Loire,hubeau
04074300,INDRE à SAINT-HIPPOLYTE,l'Indre,K7--0260,47.060000839,1.088063635,,,Indre-et-Loire,hubeau
04072150,ROUMER A LANGEAIS,la Roumer,K6814000,47.333914879,0.341117546,,,Indre-et-Loire,hubeau
04072000,CHER à SAVONNIERES,le Cher,K---0090,47.348252198,0.544313823,,,Indre-et-Loire,hubeau
04070300,CHER à SAINT-AIGNAN,le Cher,K---0090,47.270938154,1.375204534,,,Loir-et-Cher,hubeau
04070215,NAHON à SELLES-SUR-NAHON,le Nahon,K65-0320,47.007783046,1.457455628,,,Indre,hubeau
04070211,RENON à PARPECAY,le Renon,K65-0310,47.219413897,1.677519608,,,Indre,hubeau
04070000,SAULDRE à PRUNIERS-EN-SOLOGNE,la Sauldre,K6--0250,47.320602517,1.670795439,,,Loir-et-Cher,hubeau
04068800,SAULDRE à SALBRIS,la Sauldre,K6--0250,47.432623475,2.067352369,,,Loir-et-Cher,hubeau
04068550,PETITE SAULDRE à MENETREOL-SUR-SAULDRE,la Petite Sauldre,K63-0300,47.446698079,2.304762639,,,Cher,hubeau
04067700,ARNON à MEREAU,l'Arnon,K6--0240,47.162027747,2.028936994,,,Cher,hubeau
04066500,AURON à BOURGES,l'Auron,K56-0300,47.0392313,2.434565719,,,Cher,hubeau
04065000,CHER à FOECY,le Cher,K---0090,47.167868637,2.15121017,,,Cher,hubeau
04064000,CHER à BRUERE-ALLICHAMPS,le Cher,K---0090,46.767898278,2.428888885,,,Cher,hubeau
04062000,AUMANCE à HERISSON,l'Aumance,K53-0300,46.529268506,2.674064824,,,Allier,hubeau
04061400,OEIL à VILLEFRANCHE-D'ALLIER,l'½il,K53-0320,46.420785099,2.823195236,,,Allier,hubeau
04060900,AUMANCE à COSNE-D'ALLIER,l'Aumance,K53-0300,46.491960594,2.825315177,,,Allier,hubeau
04060500,CHER à VALLON-EN-SULLY,le Cher,K---0090,46.535098738,2.614615504,,,Allier,hubeau
04057200,TARDES à SAINT-ORADOUX-PRES-CROCQ,la Tardes,K51-0300,45.880563173,2.362423283,,,Creuse,hubeau
04057000,CHER à CHAMBONCHARD,le Cher,K---0090,46.144206309,2.566288286,,,Creuse,hubeau
04056000,LOIRE à VILLANDRY,la Loire,----0000,47.344482393,0.479752567,,,Indre-et-Loire,hubeau
04051850,LOIRE à MUIDES-SUR-LOIRE,la Loire,----0000,47.673979127,1.525573461,,,Loir-et-Cher,hubeau
04051650,ARDOUX à CLERY-SAINT-ANDRE,l'Ardoux,K44-0300,47.816779591,1.783722053,,,Loiret,hubeau
04051125,DHUY à SANDILLON,la Dhuy,K43-0310,47.812892122,2.0486187,,,Loiret,hubeau
04049625,BEC D'ABLE à SULLY-SUR-LOIRE,le Bec d'Able,K42-0300,47.761051944,2.322399252,,,Loiret,hubeau
04048550,NOTREURE à CERNOY-EN-BERRY,la Notreure,K4194000,47.563263744,2.635762779,,,Loiret,hubeau
04046960,NOHAIN à SAINT-MARTIN-SUR-NOHAIN,le Nohain,K4094000,47.3558736,2.99675436,,,Nièvre,hubeau
04046800,LOIRE à SAINT-SATUR,la Loire,----0000,47.338334227,2.867899215,,,Cher,hubeau
04045900,LOIRE à FOURCHAMBAULT,la Loire,----0000,47.013294395,3.072637369,,,Nièvre,hubeau
04044700,ALLIER à LANGERON,l'Allier,K---0080,46.815318608,3.045261237,,,Nièvre,hubeau
04044400,BIEUDRE ou RAU DE GOUTAT à POUZY-MESANGY,la Bieudre,K36-0300,46.699175648,3.00460675,,,Allier,hubeau
04043800,QUEUNE à SOUVIGNY,la Queune,K3464000,46.536002961,3.211251384,,,Allier,hubeau
04043200,ALLIER à CHATEL-DE-NEUVRE,l'Allier,K---0080,46.40302477,3.319177387,,,Allier,hubeau
04043100,SIOULE à CONTIGNY,la Sioule,K3--0200,46.340466453,3.310242911,,,Allier,hubeau
04042100,BOUBLE à CHAREIL-CINTRAT,la Bouble,K33-0300,46.263132788,3.226297988,,,Allier,hubeau
04041780,SIOULE à LISSEUIL,la Sioule,K3--0200,46.054503898,2.915905164,,,Puy-de-Dôme,hubeau
04041760,SAUNADE à LANDOGNE,la Saunade,K3264000,45.883315182,2.638912292,,,Puy-de-Dôme,hubeau
04041750,SIOULET à COMBRAILLES,le Sioulet,K32-0300,45.825346163,2.61859276,,,Puy-de-Dôme,hubeau
04041700,SIOULE à MONTFERMY,la Sioule,K3--0200,45.879678279,2.809031706,,,Puy-de-Dôme,hubeau
04041675,SIOULE à MAZAYE,la Sioule,K3--0200,45.770258801,2.835214742,,,Puy-de-Dôme,hubeau
04040355,JOLAN à CUSSET,le Jolan,K3074000,46.131360125,3.492374419,,,Allier,hubeau
04040150,SICHON A FERRIERES-SUR-SICHON,le Sichon,K30-0310,46.024051677,3.647225027,,,Allier,hubeau
04039000,DORE à DORAT,la Dore,K2--0190,45.878180929,3.482185056,,,Puy-de-Dôme,hubeau
04037900,DORE à OLLIERGUES,la Dore,K2--0190,45.675106745,3.630143903,,,Puy-de-Dôme,hubeau
04036300,DORE à DORE-L'EGLISE,la Dore,K2--0190,45.382636782,3.74557209,,,Puy-de-Dôme,hubeau
04034650,BEDAT à SAINT-LAURE,le Bedat,K27-0310,45.900166064,3.295036299,,,Puy-de-Dôme,hubeau
04033300,MORGE à MONTCEL,la Morge,K27-0300,46.018130522,3.074826052,,,Puy-de-Dôme,hubeau
04030020,COUZE CHAMBON à CHAMBON-SUR-LAC,la Couze Chambon,K2674000,45.557298971,2.882879465,,,Puy-de-Dôme,hubeau
04029700,COUZE PAVIN à SAINT-DIERY,la Couze Pavin,K2654000,45.532612344,3.010764857,,,Puy-de-Dôme,hubeau
04029050,ALAGNON à BEAULIEU,l'Alagnon,K25-0300,45.449011768,3.298846085,,,Puy-de-Dôme,hubeau
04028500,ALAGNON à JOURSAC,l'Alagnon,K25-0300,45.141909949,3.01412345,,,Cantal,hubeau
04028450,ALLANCHE ou COURBIERES À PRADIERS,l'Allanche,K2514000,45.281619366,2.909123676,,,Cantal,hubeau
04027810,SENOUIRE à SAINT-PAL-DE-SENOUIRE,la Senouire,K23-0300,45.253265098,3.654940367,,,Haute-Loire,hubeau
04027740,ALLIER à BLASSAC,l'Allier,K---0080,45.166178316,3.412967391,,,Haute-Loire,hubeau
04027650,DESGES à DESGES,la Desges,K22-0310,45.015630849,3.458752234,,,Haute-Loire,hubeau
04027350,ANCE DU SUD à SAINT-PREJET-D'ALLIER,l'Ance,K22-0300,44.8986312,3.632054669,,,Haute-Loire,hubeau
04027210,CHAPEAUROUX à PIERREFICHE,le Chapeauroux,K21-0300,44.69931942,3.743922592,,,Lozère,hubeau
04026500,ALLIER à CHASSERADES,l'Allier,K---0080,44.563916272,3.848476604,,,Lozère,hubeau
04026420,RAU DE LIAURON à CELLIER-DU-LUC,le Liauron,K2036000,44.67579868,3.916144834,,,Ardèche,hubeau
04026000,LOIRE à NEVERS,la Loire,----0000,46.98260563,3.151957122,,,Nièvre,hubeau
04025100,NIEVRE à COULANGES-LES-NEVERS,la Nièvre,K19-0300,47.022508651,3.209511596,,,Nièvre,hubeau
04025040,NIEVRE à DOMPIERRE-SUR-NIEVRE,la Nièvre,K19-0300,47.236771564,3.250339342,,,Nièvre,hubeau
04024060,ACOLIN à THIEL-SUR-ACOLIN,l'Acolin,K1--0150,46.511689404,3.559210989,,,Allier,hubeau
04024000,LOIRE à DECIZE,la Loire,----0000,46.828012725,3.457743987,,,Nièvre,hubeau
04023680,CANNE à SAINT-GRATIEN-SAVIGNY,la Canne,K1764000,46.913421169,3.652615822,,,Nièvre,hubeau
04023450,ALENE à LUZY,l'Alène,K17-0310,46.798843437,4.02840957,,,Nièvre,hubeau
04023130,SOMME à CRESSY-SUR-SOMME,la Somme,K16-0300,46.715504429,3.882307314,,,Saône-et-Loire,hubeau
04023000,BESBRE à DOMPIERRE-SUR-BESBRE,la Besbre,K15-0300,46.501677977,3.678657069,,,Allier,hubeau
04022210,BESBRE à SAINT-PRIX,la Besbre,K15-0300,46.206570925,3.649999803,,,Allier,hubeau
04022150,BESBRE à CHABANNE (LA),la Besbre,K15-0300,46.019741841,3.740752329,,,Allier,hubeau
04022050,ROUDON à SALIGNY-SUR-ROUDON,le Roudon,K14-0300,46.474353162,3.75674508,,,Allier,hubeau
04021250,VOUZANCE à NEUILLY-EN-DONJON,la Vouzance,K1414000,46.342785968,3.891765575,,,Allier,hubeau
04021000,LOIRE à LA MOTTE-SAINT-JEAN,la Loire,----0000,46.49189962,3.940491903,,,Saône-et-Loire,hubeau
04020010,ARROUX à RIGNY-SUR-ARROUX,l'Arroux,K1--0180,46.533701622,4.032376373,,,Saône-et-Loire,hubeau
04019700,BOURBINCE à VITRY-EN-CHAROLLAIS,la Bourbince,K13-0300,46.471765769,4.078916419,,,Saône-et-Loire,hubeau
04017000,ARROUX à LAIZY,l'Arroux,K1--0180,46.906797309,4.197313107,,,Saône-et-Loire,hubeau
04016840,ARROUX à AUTUN,l'Arroux,K1--0180,46.96605135,4.296900227,,,Saône-et-Loire,hubeau
04016800,TERNIN à CHISSEY-EN-MORVAN,le Ternin,K12-0310,47.102918856,4.231087246,,,Saône-et-Loire,hubeau
