geometry,network_id,n_primary_items,predicted_recoverability,observed_achieved_skill
artificial_stress,huc8_01070004,2520,0.612269657021023,-0.3609002106019121
artificial_stress,huc8_01090001,7440,0.5650802742877581,-0.345071251822068
artificial_stress,huc8_01090004,7560,0.46402681190342576,-0.30483620737020195
artificial_stress,huc8_02020006,2520,0.6577005295788934,-0.5581284544992864
artificial_stress,huc8_02040103,1680,0.8112029927217497,-1.3495360646170638
artificial_stress,huc8_02040106,3360,0.519426755726036,-0.31774925414753696
artificial_stress,huc8_02040203,2520,0.6116140210101854,-0.4605509259259948
artificial_stress,huc8_02040205,5880,0.45713136913968666,-0.2717890143795196
artificial_stress,huc8_02050104,2520,0.8424473263081856,-0.5060702734251342
artificial_stress,huc8_02060003,3120,0.5994412548339394,-0.20045809990107472
artificial_stress,huc8_02070002,2520,0.8708537776092528,-0.46827724839717816
artificial_stress,huc8_02070008,1200,0.4368077408402888,-0.24956355805786995
artificial_stress,huc8_02070010,3120,0.4704970331260004,0.013340279569119633
artificial_stress,huc8_02080201,1680,0.6503564908301818,-0.36657251629827897
artificial_stress,huc8_03040206,3240,0.33217964638424513,-1.4456018336846268
artificial_stress,huc8_03050106,1680,0.8899906406325779,-0.35093737949884735
artificial_stress,huc8_03050109,4200,0.5921840238512065,-0.3019316509670889
artificial_stress,huc8_03050208,2442,0.2350426176124345,-0.47543351279247104
artificial_stress,huc8_03060106,2298,1.0516562712498687,0.1292977057362155
artificial_stress,huc8_03070101,2520,0.3615744969176881,0.11845009610628207
artificial_stress,huc8_03070103,15960,0.2364840051985587,-0.2301132030410552
artificial_stress,huc8_03080103,12870,0.32151803936099693,-0.49507637324931697
artificial_stress,huc8_03090101,4200,0.4489454065496994,-0.17276041709691362
artificial_stress,huc8_03090204,5640,0.2912999559101117,-0.5538213612852251
artificial_stress,huc8_03100101,3120,0.23798316266914304,-0.4147016638408057
artificial_stress,huc8_03100204,2520,0.4828941379874194,-0.5973537606140837
artificial_stress,huc8_03100205,4080,0.44240917940958563,-0.09795918126668526
artificial_stress,huc8_03100207,9600,0.1991091097352781,-0.1149828346233391
artificial_stress,huc8_03150104,4080,0.6702547601758996,-0.32386602547468485
artificial_stress,huc8_03160111,3360,0.4106043456205857,0.05153850554573923
