site_id,n_raw,n_sentinel,n_out_of_range,n_provisional_dropped,n_constant_run_days,n_jump,qualified_years,verdict,notes,network_id,eligible_for_network,exclusion_reason
03293510,4346,0,0,48,0,0,10,accepted,,huc8_05140102,True,
03297800,4665,0,0,48,0,0,11,accepted,,huc8_05140102,True,
03297900,4209,0,0,40,0,0,9,accepted,,huc8_05140102,True,
03298000,5043,0,0,26,0,0,11,accepted,,huc8_05140102,True,
03298135,4366,0,0,0,0,0,10,accepted,,huc8_05140102,True,
03298150,4960,0,0,159,0,0,11,accepted,,huc8_05140102,True,
03298200,4705,0,0,160,0,0,10,accepted,,huc8_05140102,True,
03298250,4703,0,0,159,0,0,11,accepted,,huc8_05140102,True,
03298300,5157,7,0,152,0,0,12,rejected_sentinel,,huc8_05140102,False,rejected_sentinel
03301900,5115,0,0,0,0,0,11,accepted,,huc8_05140102,True,
03301940,4979,0,0,161,0,0,11,accepted,,huc8_05140102,True,
03302000,6098,0,0,31,17,0,12,accepted_with_flags,suspect_constant_run,huc8_05140102,True,
03302030,4843,0,0,28,0,0,10,accepted_with_flags,estimated_approved,huc8_05140102,True,
03302050,4738,0,0,27,0,0,10,accepted,,huc8_05140102,True,
