river,regime,gap_length,n_donors,true_donor_r2,heuristic_forced_donor,v_donor,v_boundary,tau,recoverability_none,recoverability_boundary,recoverability_donor,recoverability_both,sign,epsilon,notes,expected_sign,sign_recovered
memory_dominant,memory,14,2,0.0,False,1.1102230246251565e-16,0.49676999064019123,13.115884415354301,0.0,0.4967699906401911,0.0,0.49676999064019123,boundary_dominant,1e-06,True incremental value should favour boundaries.,boundary_dominant,True
memory_dominant,memory,30,2,0.0,False,0.0,0.32881307670027327,12.703247753596502,0.0,0.3288130767002728,-4.440892098500626e-16,0.3288130767002728,boundary_dominant,1e-06,True incremental value should favour boundaries.,boundary_dominant,True
memory_dominant,memory,90,2,0.0,False,-1.1102230246251565e-16,0.1232317979231109,11.721830511671513,0.0,0.12323179792311101,0.0,0.1232317979231109,boundary_dominant,1e-06,True incremental value should favour boundaries.,boundary_dominant,True
donor_dominant,donor,14,2,0.8826241134751778,True,0.6563935507728923,4.2524636761354095e-05,-9.621190196374974,0.0,0.0010473297860529307,0.6573983559221839,0.6574408805589452,donor_dominant,1e-06,True incremental value should favour donors.,donor_dominant,True
donor_dominant,donor,30,2,0.8826241134751778,True,0.6569294468525154,1.9844830488557896e-05,-10.358227447798036,0.0,0.0004887539001580121,0.6573983559221849,0.6574182007526734,donor_dominant,1e-06,True incremental value should favour donors.,donor_dominant,True
donor_dominant,donor,90,2,0.8826241134751778,True,0.657242052898961,6.6149434958528985e-06,-11.365696606375778,0.0,0.00016291796671963343,0.6573983559221848,0.6574049708656806,donor_dominant,1e-06,True incremental value should favour donors.,donor_dominant,True
high_donor_and_high_memory,mixed,14,3,0.868340953625081,True,0.3696726725914009,0.04716583877804803,-2.0589295730951864,0.0,0.3146446490683895,0.6371514828817424,0.6843173216597904,donor_dominant,1e-06,In-sample donor R2 exceeds 0.5 while residual AR remains high.,,True
high_donor_and_high_memory,mixed,30,3,0.868340953625081,True,0.4953573189382582,0.024090492008772002,-3.023422627853652,0.0,0.16588465595225488,0.6371514828817411,0.6612419748905131,donor_dominant,1e-06,In-sample donor R2 exceeds 0.5 while residual AR remains high.,,True
high_donor_and_high_memory,mixed,90,3,0.868340953625081,True,0.5895047082419158,0.008069038475790324,-4.291126153096519,0.0,0.055715813115615576,0.6371514828817411,0.6452205213575314,donor_dominant,1e-06,In-sample donor R2 exceeds 0.5 while residual AR remains high.,,True
endpoint_upstream_origin,endpoint,14,2,0.3069376909676933,False,0.14675620304292047,0.08954059982922347,-0.49407622141669283,0.0,0.2652399380346767,0.3224555412483737,0.4119961410775972,donor_dominant,1e-06,All donors lie downstream of the target.,,True
endpoint_upstream_origin,endpoint,30,2,0.3069376909676933,False,0.24582971026315825,0.041818572152442446,-1.7712786661172522,0.0,0.13333847994123194,0.33734961805194774,0.3791681902043902,donor_dominant,1e-06,All donors lie downstream of the target.,,True
endpoint_upstream_origin,endpoint,90,2,0.3069376909676933,False,0.3154299063370267,0.013939525476541204,-3.119139560437756,0.0,0.04454864474119735,0.34603902560168287,0.3599785510782241,donor_dominant,1e-06,All donors lie downstream of the target.,,True
endpoint_downstream_terminus,endpoint,14,2,0.011223571617651227,False,0.03854543614878958,0.26507711410877643,1.9281609045382246,0.0,0.2798425757926678,0.05331089783268095,0.3183880119414574,boundary_dominant,1e-06,All donors lie upstream of the target.,,True
endpoint_downstream_terminus,endpoint,30,2,0.011223571617651227,False,0.056473022052155986,0.1327460477941229,0.8546646753051826,0.0,0.14085291854861703,0.06457989280665011,0.19732594060077302,boundary_dominant,1e-06,All donors lie upstream of the target.,,True
endpoint_downstream_terminus,endpoint,90,2,0.011223571617651227,False,0.06879870746395633,0.044344043411828626,-0.4391985511683836,0.0,0.04706145289604391,0.07151611694817162,0.11586016036000024,donor_dominant,1e-06,All donors lie upstream of the target.,,True
donor_count_redundant,redundant_donors,14,6,0.7679999999999996,True,0.5140629867418205,0.0005609720856885048,-6.8186508454471815,0.0,0.004834202192175896,0.5183362168483079,0.5188971889339964,donor_dominant,1e-06,Additional donors are copies of one factor.,donor_dominant,True
donor_count_redundant,redundant_donors,30,6,0.7679999999999996,True,0.516342042798614,0.0002617869733216871,-7.583182918608829,0.0,0.002255961023015396,0.5183362168483077,0.5185980038216293,donor_dominant,1e-06,Additional donors are copies of one factor.,donor_dominant,True
donor_count_redundant,redundant_donors,90,6,0.7679999999999996,True,0.5176714921650765,8.726232444067339e-05,-8.676784726995466,0.0,0.0007519870076716506,0.5183362168483074,0.5184234791727481,donor_dominant,1e-06,Additional donors are copies of one factor.,donor_dominant,True
advection_chain,chain,14,5,0.32062920202078615,False,0.23607731133312349,0.020297822445926816,-2.453600700890283,0.0,0.06966397879767317,0.28544346768486983,0.30574129013079665,donor_dominant,1e-06,Linear advection plus local memory on a mainstem.,,True
advection_chain,chain,30,5,0.32062920202078615,False,0.2675725889267727,0.009472317147105946,-3.3409155019051213,0.0,0.03251346888188589,0.29061374066155266,0.3000860578086586,donor_dominant,1e-06,Linear advection plus local memory on a mainstem.,,True
advection_chain,chain,90,5,0.32062920202078615,False,0.2859493493038162,0.0031574390490357596,-4.505740258185733,0.0,0.010837822960985122,0.2936297332157656,0.29678717226480134,donor_dominant,1e-06,Linear advection plus local memory on a mainstem.,,True
